name,discord_username,github_id,discourse_id,sourcecred_id,address,discord_id,totalGrainPaid,totalCred
jasontphelps,,,,ZFlkP9P6laMhBnYZLg27XQ,,,,1.85616028320029
jds3d,,,,pg4JNwNv9881Vl9BsRsvnQ,,,,68.01503834499238
jeverettnichol,,,,ZPds9R8QHDT2K1488oSDSg,,,,6.56123976482735
jh-onchain,,,,x1trbEOM7yKmFNDHa76HWg,,,,5.079141547867495
joshuavial,,joshuavial,,q0NyG0ja5fYMofDqj9VwLQ,,,0.0,0.3955245139761668
kant,,,,hgPu8tDL3opB5br2CYgzDQ,,,,1.858837041710831
kelsien,,,,HpyIKk2qre3N3Q53sqZLtw,,,,0.7125613933235772
kevinknielsen,,,,0D5wUqAy7Z0kwDXVki5rTw,,,,294.24716119504296
klingefjord,,,,JxxXwpl4Zg4cROddCz5BGw,,,,6.561240011967806
knobsDAO-discourse,,,,oSgb08bcopOhQg1lDcGqYw,,,,3.928869838508597
knobsdao,,knobsdao,,2gES3MGJqpKYVSNBnQBkcQ,,,73.0402683823276,18.393704187573256
krisjpi,,krisjpi,,EC9pQPO2Dkr6vrba8yIKzA,,,54.619813307908025,28.137459895252995
kristofer,,,,SKwe7tLJqd1Q5idLJackbQ,,,,2515.7983406670123
kristoferlund,kristofer#1475,kristoferlund,kristoferlund,lVMZ47BZ6VINp7HqtXoAGA,0xa32aECda752cF4EF89956e83d60C04835d4FA867,388384931102982154,60.644391477611904,0.01
kristoferlund-discourse,kristofer#1475,kristoferlund,kristoferlund,rsJ7fjTOXUWWar5Gb7J4TQ,0xa32aECda752cF4EF89956e83d60C04835d4FA867,388384931102982154,0.0,0.01
kristofernoaccess,,,,XJAmjvvSJodGDCnMv4rr5g,,,,1.1525861667847852
lEscanore-github,,lEscanore,,n66y4EnwYl0pLkI7SQhxCw,,,0.0,6.235357177859248
laurenluz,karmaticacid#1218,laurenluz,laurenluz,FE8bRvmLfmv6zKfrVDe8Kw,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,492394339532800020,55.754363031358,69.76373540668419
laurenluz-github,karmaticacid#1218,laurenluz,laurenluz,LZflQJjRV2qaZKc2C03WTw,0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,492394339532800020,0.0,51.87000741435512
liviade,liviade#1387,liviade1,liviade,XCvAJKrkF9714dUKaUZExg,0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,480023322080444427,1291.3074239406053,850.1357752300459
lkngtn,,lkngtn,,QvXbYsDrS85W1jFXYMHZLw,,,0.0,10.41651133257814
luisotravez,,,,oaJokgy4PWMWiwSAbYoq0Q,,,,2.067352620142708
maghaali,,,,iWK8bkU8dLtWhxqrijIlow,,,,44.1666590608422
marcodarko1,,,,oU9YqMwhMNKyMMxG5NpC5g,,,,1.6870639557544571
markatwork1,,,,l6q0EybQAwFm9BImq9z5cA,,,,9.887136248195102
markop,markop#2007,markoprljic,markop,sGrwHA6gJEhDAErTGMcq0w,,523401372188540939,1252.307877002183,460.2117408112596
marthendalnunes,,marthendalnunes,,sajBddm8qlGdY7Qt8GQmbQ,,,64.88827969792398,787.7885195606791
mattyg-github,,,,SmfwBAMJYZ2V0l7EAI1gQg,,,,1526.9255920548003
mattyjee-discourse,,,,3rCrJa6tVgDJtdP9t1pOEw,,,,2.553257747392489
mayasierra,,,,WQXAroZNbFK5c37sJkGEAg,,,,0.8616585768571555
mcsmith89,,,,ca8CLh8NFPs8VYu4XWlo4w,,,,21.09260496336642
mendesfabio,,mendesfabio,,G9OdZJeyTg2EFxDFPDjtLQ,,,0.0,347.3696124344309
mertozdal,,,,BnGYFoI5afLpBREReoXw5Q,,,,18.084076049940737
metaverde,metaverde#2503,metaverde,metaverde,lArgWtMBN0owKafQaXpdgg,,367484103089455108,48.341558993353374,32.5859936409136
mettodo,,,,izNgcjgRtwwgVBBxIqof3g,,,,14.33565122068964
mount-manu,,mount-manu,,c6OUrobvVXjorSmWOC0kCA,,,87.23135863400749,80.57678995301268
mount-manu-zz,,,,aug9Fqu7tzhKxbdL7XbMQQ,,,,31.014219322113743
mquellhorst,,,,sb2LZw8HRBL247no7zL4zA,,,,2.78426050397866
murphy,,,,6YBXO13SMhndp1KGvAhW5Q,,,,1.1525861667847852
mzargham,mZ#3472,mzargham,mzargham,y6pL386gxC0Z0LQMeTkbgg,0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,250086586450968576,0.0,35.80666983677002
mzargham-github,,,,opj8PvMI0DksLURbzRdvlw,,,,11.558711415487611
naomi-lgbt,,,,hqAkwef9sDlGAjsPk2DGdA,,,,35.828420648898216
natenatesoo,,natenatesoo,,kRYFk7ZHQarYRekF4YUDDw,,,194.7482775010877,181.0613213952066
natesuits,,,natesuits,iWqqv2iETnRkT97bJGtmhg,,,324.37444760424216,240.39713963667592
nebs-dev,,,,hyLKveQvjLYbr3PZJgDsng,,,,368.42965187273904
neilkt,,,,O5MwlXhLvql4i9CMIYbQQA,,,,3.617937262933193
netlify,,,,SVL82s5hpnHRGYYjhQMbyA,,,,34.508015147052895
nic,,,,3l6OJoZP8ck7MrgXjkxFNQ,,,,7.585596503297319
nickmartitsch,,,,51GoAKy7cZsg9yD2T2L6Gg,,,,39.97744169333496
octopus,,,octopus,xs8UmxH3fbDTr4roq2AEVw,,,0.0,51.12143070406511
onbjerg,,onbjerg,,eVEwRQ2GmpOmhVL4XyvAGQ,,,0.0,4.612153344605759
p-murli,,,,LlXsgiQ3JeCVN0QzEyBc9A,,,,1.1525861667847852
pab-discourse,,,,Y6rKDk9P1saZ187nEFpxYg,,,,2.2489174750453755
pacobacpac,,,pacobacpac,r2LF5dPmQTMljBg6byen5A,,,0.0,2.332899432489878
panteo92,,,,9km5zvgDj77VPKKP6YLQqQ,,,,1.1525861667847852
papa-raw,,,,UkzVoBEQ0I00XZ3eAj0Hxw,,,,2.677023047531796
paparaw,,,,PrwiBMm1YLiEnx9BMJdzzQ,,,,2.5469520290046392
patriacaelum,,,,at3erEO3n1LKLBrd8nJwpQ,,,,26.910460084604946
